Pressure (kPa) Loading,Resistance (Ω) Loading,Pressure (kPa) Unload,Resistance (Ω) Unload
0,755629.8,140,25.77708
0,762460.9,140,25.71999
0,743564.6,140,25.73131
0,731584.1,140,25.70632
0,734666.9,140,25.70173
0,737596,140,25.73143
0,723872.6,139.72222,25.69031
0,666373.3,139.72222,25.68809
0,704408.7,139.44444,25.65607
0,711424.9,139.44444,25.69034
0,677647.6,138.88889,25.688
0,548971.2,138.33333,25.64006
0,540369.5,137.77778,25.67665
0,602362.9,137.22222,25.69488
0,602543.4,136.38889,25.67208
0,520970.8,135.55556,25.65613
0,629582.9,135,25.6652
0.27778,280737.6,134.16667,25.67665
0.27778,273080.2,133.61111,25.69019
0.27778,310673.7,132.77778,25.67896
0.27778,304526.4,131.94444,25.75879
0.27778,268554.1,131.11111,25.78396
0.27778,257343.5,130.27778,25.74734
0.27778,244941.9,129.44444,25.74969
0.27778,252558.7,128.33333,25.80904
0.27778,241119.7,127.5,25.8638
0.27778,250702.8,126.38889,25.82961
0.27778,284765.3,125.55556,25.91858
0.27778,267132.8,124.72222,25.93228
0.27778,311017,123.88889,25.9642
0.27778,321863.4,122.77778,25.98937
0.27778,277075.2,121.66667,25.99394
0.27778,281503.5,120.83333,26.05551
0.27778,315674.1,119.72222,26.09666
0.27778,306334.3,118.88889,26.16058
0.27778,307019.5,118.05556,26.21314
0.27778,260500,116.94444,26.27015
0.27778,237021,115.83333,26.35686
0.27778,232603.1,115,26.41624
0.55556,234377.9,113.88889,26.4253
0.55556,205809.1,113.33333,26.48244
0.55556,178819.5,112.5,26.53953
0.55556,129509.5,111.66667,26.592
0.55556,120607.8,111.11111,26.6376
0.55556,103850.4,110.55556,26.68331
0.55556,94425.37,110.27778,26.71755
0.55556,83944.42,109.72222,26.72665
0.55556,79801.13,109.44444,26.7723
0.55556,70012.52,109.16667,26.80426
0.83333,73911.59,108.61111,26.80883
0.83333,70408.85,108.33333,26.86358
0.83333,65288.51,108.05556,26.88875
0.83333,57388.69,107.5,26.90017
0.83333,50905.16,106.66667,26.97546
0.83333,43605.19,106.11111,27.02343
1.11111,41246.12,105.55556,27.10101
1.11111,33957.19,104.44444,27.19464
1.11111,30476.84,103.61111,27.26993
1.11111,29889.75,102.77778,27.36358
1.11111,25882.29,101.94444,27.41374
1.38889,23492.96,100.83333,27.58048
1.38889,19662.79,100,27.62609
1.38889,19812.83,99.16667,27.77216
1.66667,15600.37,98.33333,27.85659
1.66667,14783.8,97.22222,27.98901
1.94444,12260.01,96.38889,28.05521
1.94444,12346.05,95.55556,28.2241
2.22222,10834.29,94.72222,28.31084
2.22222,10099.77,93.88889,28.46381
2.5,8378.45,93.05556,28.62128
2.77778,6479.413,91.94444,28.71263
2.77778,5895.653,91.11111,28.86778
3.05556,5011.534,90,29.03905
3.33333,4220.702,89.16667,29.18749
3.61111,3646.229,88.33333,29.32435
3.88889,3161.012,87.22222,29.49555
4.16667,2671.078,86.38889,29.6736
4.44444,2393.916,85.27778,29.84719
4.72222,2222.942,84.44444,29.99778
5.27778,1975.743,83.61111,30.20775
5.55556,1719.397,82.5,30.37667
5.83333,1517.583,81.38889,30.60726
6.38889,1390.913,80.55556,30.84469
6.66667,1258.787,79.44444,31.10945
7.22222,1116.092,78.33333,31.31253
7.5,1017.934,77.5,31.58649
7.77778,915.9225,76.38889,31.81708
8.33333,798.3026,75.27778,32.11151
8.61111,762.3927,74.16667,32.48138
9.16667,697.2253,72.77778,32.76668
9.72222,639.089,71.66667,33.09999
10,589.0057,70.55556,33.48116
10.55556,549.2569,69.72222,33.73911
11.11111,506.7823,68.61111,34.14074
11.38889,468.1826,67.5,34.54947
11.94444,431.0433,66.11111,34.974
12.5,407.9433,65,35.43515
12.77778,375.2319,63.88889,35.97382
13.33333,355.6252,62.77778,36.55138
13.61111,338.7122,61.66667,36.87781
13.88889,324.1917,60.55556,37.40968
14.44444,312.8934,59.16667,38.08764
14.44444,299.563,58.05556,38.74049
14.72222,291.3001,56.94444,39.2724
15,282.8992,55.83333,39.89092
15,275.2749,54.72222,40.54157
15.27778,269.1126,53.61111,41.28612
15.55556,265.0726,52.5,41.92256
15.55556,258.5193,51.38889,42.72145
15.83333,251.582,50.55556,43.36293
16.11111,245.5795,49.44444,44.16177
16.38889,239.1187,48.33333,45.17539
16.94444,231.403,47.22222,46.36929
17.5,221.5416,46.11111,47.35987
18.05556,212.7305,45,48.09267
18.61111,204.3527,44.16667,49.30935
